,user activity,env brightness,images,theme,layout,font size,p_score,i_score,r_score,score,output
88,IN_VEHICLE,324.0,withImages,light-theme,largeCards,small-font,0,0,1,1,0
89,ON_FOOT,7960.0,withImages,light-theme,largeCards,small-font,2,0,0,2,0
90,ON_FOOT,7375.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
91,IN_VEHICLE,111.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
92,ON_FOOT,355.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
93,ON_FOOT,217.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
94,STILL,421.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
95,STILL,394.0,withImages,light-theme,largeCards,small-font,2,2,1,5,0
96,ON_FOOT,515.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
97,STILL,564.0,withImages,light-theme,xLargeCards,small-font,2,1,1,4,0
98,STILL,418.0,withImages,light-theme,xLargeCards,small-font,1,1,1,3,0
99,ON_FOOT,450.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
100,STILL,5653.0,withImages,light-theme,largeCards,small-font,1,2,2,5,0
101,STILL,12918.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
102,STILL,2715.0,withImages,light-theme,largeCards,small-font,2,1,1,4,0
103,STILL,17.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
104,ON_FOOT,757.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
105,ON_FOOT,765.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
106,STILL,6.0,withImages,dark-theme,largeCards,small-font,0,0,0,0,0
107,STILL,4.0,withImages,dark-theme,largeCards,small-font,0,1,1,2,0
108,STILL,566.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
109,IN_VEHICLE,662.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
110,IN_VEHICLE,704.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
111,ON_FOOT,10.0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
112,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
113,STILL,0.0,withImages,dark-theme,xLargeCards,large-font,2,1,2,5,0
114,STILL,57.0,withImages,dark-theme,xLargeCards,large-font,2,1,1,4,0
115,STILL,110.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
116,STILL,285.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
117,STILL,181.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
118,STILL,240.0,withImages,dark-theme,largeCards,large-font,-2,-2,-2,-6,0
119,STILL,240.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
120,STILL,92.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
121,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
122,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,1,5,0
123,STILL,20.0,withImages,dark-theme,xLargeCards,large-font,1,2,2,5,0
124,STILL,19.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
125,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
126,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
127,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
128,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
129,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
130,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
131,STILL,75.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
132,STILL,75.0,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
133,STILL,2.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
134,ON_FOOT,1.0,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
135,STILL,184.0,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
136,STILL,154.0,withImages,light-theme,xLargeCards,large-font,1,2,2,5,0
137,STILL,179.0,withImages,dark-theme,xLargeCards,small-font,1,1,1,3,0
138,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
139,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
140,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
141,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
142,ON_FOOT,623.0,withImages,light-theme,xLargeCards,small-font,0,-1,-2,-3,0
143,ON_FOOT,378.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
144,IN_VEHICLE,258.0,withImages,dark-theme,xLargeCards,large-font,-1,0,-1,-2,0
145,ON_FOOT,139.0,withImages,dark-theme,largeCards,small-font,1,-1,1,1,0
146,ON_FOOT,305.0,withImages,dark-theme,xLargeCards,small-font,-1,-1,-1,-3,0
147,STILL,33.0,withImages,light-theme,xLargeCards,small-font,-1,-1,-1,-3,0
148,ON_FOOT,0.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
149,ON_FOOT,6.0,withImages,dark-theme,xLargeCards,large-font,0,0,-1,-1,0
150,ON_FOOT,0.0,withImages,light-theme,largeCards,large-font,1,1,1,3,0
151,IN_VEHICLE,0.0,withImages,light-theme,xLargeCards,large-font,-1,1,-1,-1,0
152,IN_VEHICLE,0.0,withImages,dark-theme,xLargeCards,large-font,0,1,-1,0,0
153,STILL,0.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
154,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
155,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
156,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
157,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
158,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
159,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
160,ON_FOOT,9365.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
161,ON_FOOT,5189.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
162,STILL,6390.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
163,ON_FOOT,11763.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
164,ON_FOOT,6274.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
165,ON_FOOT,9403.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
166,ON_FOOT,12858.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
167,STILL,81.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
168,STILL,85.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
169,STILL,80.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
170,STILL,11.0,withImages,light-theme,xLargeCards,small-font,1,1,1,3,0
171,STILL,7.0,withImages,dark-theme,largeCards,small-font,1,0,0,1,0
172,STILL,7.0,withImages,dark-theme,largeCards,small-font,0,0,0,0,0
173,STILL,8.0,withImages,dark-theme,largeCards,small-font,0,0,0,0,0
174,STILL,8.0,withImages,dark-theme,xLargeCards,large-font,1,0,0,1,0
175,STILL,8.0,withImages,dark-theme,xLargeCards,small-font,1,1,0,2,0
176,STILL,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
177,STILL,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
178,STILL,0.0,withImages,light-theme,largeCards,small-font,2,1,1,4,0
179,STILL,0.0,withImages,dark-theme,largeCards,small-font,1,1,2,4,0
180,STILL,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
181,STILL,0.0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
182,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,1,1,4,0
183,STILL,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
